source	target	depth
environmental justice	environmental justice and coal mining in appalachia	3
environmental justice	environmental law	3
environmental justice	environmental racism	3
environmental justice	environmental sociology	3
environmental justice	equality impact assessment	3
environmental justice	extinction debt	3
environmental justice	fenceline community	3
environmental justice	health equity	3
environmental justice	hunters point, san francisco, california	3
environmental justice	resource justice	3
environmental justice	rural action	3
environmental justice	sustainable development	3
environmental justice	toxic 100	3
geriatric care management	elderly care	3
geriatric care management	geriatric nursing	3
geriatric care management	health advocacy	3
geriatric care management	long term care	3
geriatric care management	patient advocacy	3
geriatric care management	transgenerational design	3
eurohealthnet	social determinants of health	3
eurohealthnet	health promotion	3
eurohealthnet	health equity	3
eurohealthnet	sustainable development	3
chronic care management	chronic care	3
chronic care management	disaboom	3
chronic care management	dmaa: the care continuum alliance	3
chronic care management	medical home	3
chronic care management	non-communicable disease	3
community health center	ambulatory care	3
community health center	clinic	3
community health center	community health	3
community health center	doctor's visit	3
community health center	health administration	3
community health center	health insurance	3
community health center	health professional	3
community health center	low-threshold treatment programs	3
community health center	social work	3
unnecessary health care	medicare fraud	3
unnecessary health care	moral hazard	3
unnecessary health care	antibiotic misuse	3
unnecessary health care	choosing wisely	3
unnecessary health care	overmedicalization	3
unnecessary health care	overdiagnosis	3
world health report	world health day	3
world health report	world report on disability	3
world health report	bulletin of the world health organization	3
world health report	eastern mediterranean health journal	3
world health report	human resources for health	3
world health report	u-report	3
world health report	pan american journal of public health	3
world health report	who south-east asia journal of public health	3
quaternary prevention	bioethics	3
quaternary prevention	cascade effect	3
quaternary prevention	defensive medicine	3
quaternary prevention	iatrogenesis	3
quaternary prevention	medical ethics	3
quaternary prevention	medicalization	3
quaternary prevention	medicine	3
quaternary prevention	patient safety	3
quaternary prevention	preventive medicine	3
public health law	health law	3
public health law	public health act 1875	3
public health law	title 42 of the code of federal regulations	3
policy	blueprint	3
policy	distributive tendency	3
policy	iron triangle (us politics)	3
policy	mandate (politics)	3
policy	overton window	3
policy	pattern language	3
policy	policy alienation	3
policy	policy analysis	3
policy	policy governance	3
policy	policy studies	3
policy	political science	3
policy	program evaluation	3
policy	public administration	3
policy	public health	3
policy	public policy (law)	3
policy	public policy schools	3
policy	public services	3
policy	social contract	3
policy	social welfare	3
policy	social work	3
policy	think tank	3
pharmaceutical policy	international conference on harmonisation of technical requirements for registration of pharmaceuticals for human use	3
pharmaceutical policy	medical cannabis	3
pharmaceutical policy	national pharmaceuticals policy	3
pharmaceutical policy	vaccination policy	3
medical law	abortion law	3
medical law	assault (tort)	3
medical law	battery (tort)	3
medical law	bioethics	3
medical law	competence (law)	3
medical law	compulsory sterilization	3
medical law	conjoined twins	3
medical law	consent (criminal law)	3
medical law	convention for the protection of human rights and dignity of the human being with regard to the application of biology and medicine	3
medical law	euthanasia	3
medical law	freedom of information	3
medical law	health law	3
medical law	inviolability	3
medical law	involuntary commitment	3
medical law	involuntary treatment	3
medical law	medical ethics	3
medical law	medical malpractice	3
medical law	medical record	3
medical law	privacy law	3
medical law	quality of life (healthcare)	3
medical law	reproductive rights	3
medical law	reproductive technology	3
medical law	world association for medical law	3
inverse care law	health policy	3
inverse care law	inverse benefit law	3
inverse care law	patient safety	3
inverse care law	public health	3
health law	bioethics	3
health law	health policy	3
health law	health promotion	3
health law	medical law	3
health law	world association for medical law	3
health promotion	breastfeeding promotion	3
health promotion	health 21	3
health promotion	health for all	3
health promotion	health marketing	3
health promotion	health policy	3
health promotion	health promoting hospitals	3
health promotion	health promotion in higher education	3
health promotion	preventive healthcare	3
disease mongering	inverse benefit law	3
disease mongering	medicalization	3
disease mongering	quaternary prevention	3
disease mongering	schooliosis	3
disease mongering	overdiagnosis	3
